,complexity,regret,linearity,running time
0,21069,0,1.0,60.18635392189026
1,32859,0,1.0,57.61479473114014
2,23699,0,1.0,68.05903434753418
3,14489,0,1.0,42.680917739868164
4,6652,0,1.0,19.113858461380005
5,16291,0,1.0,47.960461378097534
6,31233,0,1.0,89.59186720848083
7,34835,0,1.0,99.91484141349792
8,23694,0,1.0,67.34461665153503
9,21509,0,1.0,61.92271447181702
10,25412,0,1.0,72.68775486946106
11,18745,0,1.0,53.68714141845703
12,37606,0,1.0,110.58302617073059
13,22082,0,1.0,65.04491639137268
14,26889,0,1.0,61.732086420059204
15,15089,0,1.0,42.98372721672058
16,41107,0,1.0,90.09646344184875
17,17250,0,1.0,49.959004402160645
18,37594,0,1.0,109.02958416938782
19,14645,0,1.0,41.78104758262634
20,14424,0,1.0,41.30765128135681
21,20086,0,1.0,57.47111701965332
22,18356,0,1.0,53.52222514152527
23,20193,0,1.0,57.40538001060486
24,11849,0,1.0,34.741854667663574
25,31823,0,1.0,91.22123718261719
26,22418,0,1.0,63.92230224609375
27,18068,0,1.0,52.29450511932373
28,25902,0,1.0,75.13069486618042
29,5572,0,1.0,15.96237301826477
30,34167,0,1.0,100.27580761909485
31,23341,0,1.0,46.60411477088928
32,15069,0,1.0,44.21472215652466
33,16021,0,1.0,46.56970548629761
34,38069,0,1.0,108.12801146507263
35,12013,0,1.0,34.45786905288696
36,15126,0,1.0,43.70747256278992
37,16372,0,1.0,47.32190155982971
38,29834,0,1.0,85.09983849525452
39,20015,0,1.0,57.73387932777405
40,10788,0,1.0,31.63551902770996
41,30460,0,1.0,87.41166925430298
42,32909,0,1.0,66.65736150741577
43,21069,0,1.0,61.03044033050537
44,26686,0,1.0,76.59566330909729
45,29189,0,1.0,84.14740657806396
46,34968,0,1.0,100.91280102729797
47,30767,0,1.0,90.13905024528503
48,30888,0,1.0,90.49919843673706
49,17250,0,1.0,49.903072357177734
50,16598,0,1.0,48.05905818939209
51,22226,0,1.0,63.29069662094116
52,12094,0,1.0,24.147274494171143
53,24738,0,1.0,70.18465399742126
54,37181,0,1.0,106.69629645347595
55,17457,0,1.0,50.10093426704407
56,15451,0,1.0,31.155609369277954
57,16251,0,1.0,46.82372260093689
58,30668,0,1.0,88.62429785728455
59,15691,0,1.0,45.33431363105774
60,12427,0,1.0,36.411529541015625
61,24049,0,1.0,48.44860219955444
62,32987,0,1.0,95.27040696144104
63,32789,0,1.0,93.21522402763367
64,18384,0,1.0,52.72211194038391
65,8241,0,1.0,24.151399850845337
66,14129,0,1.0,40.05288600921631
67,24020,0,1.0,69.19548892974854
68,31510,0,1.0,91.33909058570862
69,17995,0,1.0,52.755419969558716
70,5766,0,1.0,16.864277362823486
71,22958,0,1.0,46.29578399658203
72,25121,0,1.0,71.17220759391785
73,13701,0,1.0,40.12669014930725
74,26975,0,1.0,77.18894028663635
75,25274,0,1.0,72.34197163581848
76,15875,0,1.0,45.79941201210022
77,33145,0,1.0,96.64149403572083
78,13759,0,1.0,39.665919065475464
79,14773,0,1.0,29.862499475479126
80,19176,0,1.0,55.89488434791565
81,9935,0,1.0,28.219423532485962
82,9843,0,1.0,28.180748462677002
83,23642,0,1.0,67.83812761306763
84,13339,0,1.0,26.793473720550537
85,22671,0,1.0,65.18590760231018
86,20932,0,1.0,59.26596117019653
87,21320,0,1.0,61.082069635391235
88,14220,0,1.0,40.13818407058716
89,23841,0,1.0,63.28201651573181
90,14044,0,1.0,39.94298052787781
91,35573,0,1.0,74.77792382240295
92,8714,0,1.0,17.285051822662354
93,15724,0,1.0,43.40747284889221
94,11893,0,1.0,23.352967500686646
95,20433,0,1.0,43.05010509490967
96,25207,0,1.0,41.79473066329956
97,27229,0,1.0,40.92730903625488
98,15948,0,1.0,29.001200675964355
99,26953,0,1.0,42.015653133392334
