,complexity,regret,linearity,running time
0,23200,0,0.0,33.42732262611389
1,40100,0,0.0,56.253294467926025
2,27845,0,0.0,39.29164361953735
3,33415,0,0.0,47.33712029457092
4,33415,0,0.0,47.45481872558594
5,48125,0,0.0,67.8183753490448
6,27845,0,0.0,39.924978733062744
7,23200,0,0.0,33.53434157371521
8,40100,0,0.0,56.565871715545654
9,27845,0,0.0,39.83683681488037
10,33415,0,0.0,47.4163339138031
11,40100,0,0.0,57.2281014919281
12,19330,0,0.0,27.817327976226807
13,57755,0,0.0,82.89747190475464
14,33415,0,0.0,47.63475036621094
15,33415,0,0.0,47.684590339660645
16,33415,0,0.0,47.42405366897583
17,40100,0,0.0,56.899872064590454
18,40100,0,0.0,56.525843143463135
19,48125,0,0.0,68.88012933731079
20,57755,0,0.0,81.38059520721436
21,23200,0,0.0,33.22614574432373
22,40100,0,0.0,56.78958010673523
23,99815,0,0.0,145.46600914001465
24,33415,0,0.0,47.19499611854553
25,33415,0,0.0,47.051379442214966
26,33415,0,0.0,47.72759199142456
27,40100,0,0.0,57.441383600234985
28,23200,0,0.0,33.199400186538696
29,40100,0,0.0,58.242185831069946
30,40100,0,0.0,57.85407543182373
31,19330,0,0.0,27.88223648071289
32,33415,0,0.0,47.8662269115448
33,57755,0,0.0,81.91184592247009
34,40100,0,0.0,56.9430193901062
35,40100,0,0.0,57.69210457801819
36,40100,0,0.0,56.81038045883179
37,48125,0,0.0,68.43696022033691
38,48125,0,0.0,68.01356244087219
39,33415,0,0.0,47.3519070148468
40,40100,0,0.0,57.5668089389801
41,57755,0,0.0,85.3539617061615
42,33415,0,0.0,47.74045944213867
43,48125,0,0.0,70.59590220451355
44,27845,0,0.0,39.47907638549805
45,48125,0,0.0,71.7847032546997
46,19330,0,0.0,27.552956342697144
47,40100,0,0.0,62.55220818519592
48,19330,0,0.0,29.83988070487976
49,40100,0,0.0,63.63954019546509
50,57755,0,0.0,92.81957960128784
51,48125,0,0.0,79.35387301445007
52,33415,0,0.0,53.78222632408142
53,33415,0,0.0,53.93280529975891
54,57755,0,0.0,93.17556953430176
55,11180,0,0.0,18.49585485458374
56,119780,0,0.0,189.94210839271545
57,48125,0,0.0,77.68422603607178
58,48125,0,0.0,76.54023742675781
59,40100,0,0.0,64.71199536323547
60,69310,0,0.0,110.53983736038208
61,40100,0,0.0,65.35470056533813
62,19330,0,0.0,31.1297504901886
63,48125,0,0.0,76.42403721809387
64,33415,0,0.0,53.91752552986145
65,48125,0,0.0,76.14493656158447
66,1281695,0,0.0,1818.1901609897614
67,27845,0,0.0,45.006285190582275
68,48125,0,0.0,76.25408291816711
69,23200,0,0.0,36.75373840332031
70,48125,0,0.0,77.7981915473938
71,27845,0,0.0,44.472020626068115
72,33415,0,0.0,52.99560618400574
73,33415,0,0.0,53.529690742492676
74,40100,0,0.0,62.89529728889465
75,27845,0,0.0,44.73501944541931
76,27845,0,0.0,43.58822417259216
77,40100,0,0.0,59.60767960548401
78,83175,0,0.0,128.76850724220276
79,40100,0,0.0,58.3977313041687
80,27845,0,0.0,39.671753883361816
81,57755,0,0.0,88.19200420379639
82,23200,0,0.0,33.197243452072144
83,19330,0,0.0,30.442087650299072
84,23200,0,0.0,37.5233154296875
85,40100,0,0.0,63.909985303878784
86,48125,0,0.0,73.62347793579102
87,57755,0,0.0,85.4524450302124
88,48125,0,0.0,70.20127010345459
89,33415,0,0.0,46.46466374397278
90,27845,0,0.0,39.377994775772095
91,40100,0,0.0,58.234962463378906
92,23200,0,0.0,32.66378664970398
93,48125,0,0.0,68.3934395313263
94,57755,0,0.0,81.82406902313232
95,23200,0,0.0,33.479796171188354
96,23200,0,0.0,33.196537733078
97,48125,0,0.0,67.8251268863678
98,57755,0,0.0,83.65987968444824
99,40100,0,0.0,57.542755365371704
