,complexity,regret,linearity,running time
0,7269,1,1.0,570.4924273490906
1,12174,1,1.0,1055.234352350235
2,15228,1,1.0,1417.1094269752502
3,7829,1,1.0,636.7870330810547
4,9029,1,1.0,766.5664002895355
5,13853,1,1.0,1301.336410999298
6,11989,1,1.0,1048.8974406719208
7,7927,1,1.0,651.4957082271576
8,11120,1,1.0,1014.1277687549591
9,11179,1,1.0,990.8251967430115
10,10575,1,1.0,948.2636799812317
11,7436,1,1.0,607.9594194889069
12,16555,1,1.0,1607.8276998996735
13,19576,1,1.0,1933.3722932338715
14,8092,1,1.0,661.6645815372467
15,7238,1,1.0,522.5504486560822
16,7415,1,1.0,602.2087850570679
17,8516,1,1.0,739.0926694869995
18,16515,1,1.0,1650.7048664093018
19,9314,1,1.0,840.3300888538361
20,11928,1,1.0,1156.3926866054535
21,9973,1,1.0,835.8082070350647
22,12011,1,1.0,1117.6927292346954
23,7717,1,1.0,818.7427825927734
24,18735,1,1.0,1785.2879247665405
25,16518,1,1.0,1673.4835641384125
26,5725,1,1.0,628.129204750061
27,7681,1,1.0,913.6085109710693
28,10761,1,1.0,1237.8732454776764
29,10923,1,1.0,1229.5114359855652
30,6864,1,1.0,798.1635222434998
31,8966,1,1.0,1072.7919430732727
32,7288,1,1.0,881.3880429267883
33,10419,1,1.0,1145.7583346366882
34,14913,1,1.0,1417.677747964859
35,6926,1,1.0,796.5373520851135
36,11402,1,1.0,1158.9360251426697
37,12280,1,1.0,1245.7403190135956
38,14260,1,1.0,1369.4675748348236
39,6604,1,1.0,761.1196901798248
40,7370,1,1.0,859.9310617446899
41,8674,1,1.0,916.7106399536133
42,9355,1,1.0,900.3294682502747
43,18905,1,1.0,1687.9234085083008
44,8232,1,1.0,783.0148727893829
45,9609,1,1.0,833.3378098011017
46,21940,1,1.0,2022.5441555976868
47,13504,1,1.0,1154.1090340614319
48,15740,1,1.0,1298.6062541007996
49,8959,1,1.0,740.5077812671661
50,20002,1,1.0,1604.9825015068054
51,14057,1,1.0,1039.3929018974304
52,16705,1,1.0,1419.744618177414
53,5239,1,1.0,430.534681558609
54,17189,1,1.0,1413.5025367736816
55,5446,1,1.0,400.29965233802795
56,16328,1,1.0,1388.866217136383
57,8535,1,1.0,658.94611287117
58,9521,1,1.0,721.7900476455688
59,9273,1,1.0,665.3688578605652
60,10709,1,1.0,841.690468788147
61,6190,1,1.0,471.88787508010864
62,7069,1,1.0,516.1876347064972
63,9731,1,1.0,783.3798136711121
64,8794,1,1.0,712.900340795517
65,14219,1,1.0,1299.2054135799408
66,6379,1,1.0,505.3976526260376
67,11709,1,1.0,1082.5908892154694
68,10363,1,1.0,959.6485803127289
69,5814,1,1.0,441.4590518474579
70,8929,1,1.0,788.4174597263336
71,7401,1,1.0,670.1807162761688
72,17606,1,1.0,1643.5614511966705
73,8369,1,1.0,842.1208567619324
74,7619,1,1.0,788.2547945976257
75,8839,1,1.0,893.0732278823853
76,21313,1,1.0,1977.5822303295135
77,7734,1,1.0,849.1965029239655
78,7985,1,1.0,798.9867272377014
79,15540,1,1.0,1553.59805560112
80,8504,1,1.0,937.5261178016663
81,24229,1,1.0,2206.354278087616
82,7017,1,1.0,794.4920885562897
83,7662,1,1.0,833.660519361496
84,8370,1,1.0,890.8071625232697
85,7502,1,1.0,736.3509883880615
86,9353,1,1.0,913.9356875419617
87,29123,1,1.0,2454.6904695034027
88,10119,1,1.0,1035.9314413070679
89,12662,1,1.0,1270.1673855781555
90,7346,1,1.0,761.8921654224396
91,10104,1,1.0,1014.3660559654236
92,6106,1,1.0,577.058714389801
93,9142,1,1.0,933.042314529419
94,6885,1,1.0,716.3645415306091
95,11705,1,1.0,1130.8314349651337
96,10239,1,1.0,969.5666699409485
97,8174,1,1.0,793.8463838100433
98,10340,1,1.0,889.289032459259
99,8513,1,1.0,788.8817398548126
